Temperatur,Feuchtigkeit,Datetime
21.0,42.0,2022-11-24 15:36:30.822624
21.0,42.0,2022-11-24 15:38:33.293696
21.0,41.0,2022-11-24 15:48:33.920256
21.0,41.0,2022-11-24 15:58:34.546894
21.0,41.0,2022-11-24 16:08:35.173328
21.0,41.0,2022-11-24 16:18:35.799981
21.0,41.0,2022-11-24 16:28:36.353567
21.0,41.0,2022-11-24 16:38:36.883658
21.0,41.0,2022-11-24 16:48:37.413658
21.0,41.0,2022-11-24 16:58:38.040274
21.0,41.0,2022-11-24 17:08:38.667387
21.0,41.0,2022-11-24 17:18:39.274576
21.0,41.0,2022-11-24 17:28:42.428564
21.0,41.0,2022-11-24 17:38:43.055180
21.0,41.0,2022-11-24 17:56:57.189786
21.0,41.0,2022-11-24 17:59:21.576086
21.0,41.0,2022-11-24 18:09:22.201776
21.0,41.0,2022-11-24 18:17:36.162035
21.0,41.0,2022-11-24 18:19:22.823692
21.0,41.0,2022-11-24 18:29:23.450677
21.0,41.0,2022-11-24 18:38:15.168666
21.0,41.0,2022-11-24 18:39:24.077177
21.0,41.0,2022-11-24 18:49:24.673528
21.0,41.0,2022-11-24 18:58:54.141994
21.0,41.0,2022-11-24 18:59:25.273737
21.0,41.0,2022-11-24 19:08:55.122901
21.0,41.0,2022-11-24 19:09:25.900599
21.0,41.0,2022-11-24 19:19:26.483665
21.0,41.0,2022-11-24 19:29:29.637485
21.0,41.0,2022-11-24 19:39:30.264248
21.0,41.0,2022-11-24 19:49:30.890832
21.0,41.0,2022-11-24 19:59:31.443855
21.0,41.0,2022-11-24 20:09:32.070392
21.0,41.0,2022-11-24 20:19:32.696853
21.0,41.0,2022-11-24 20:29:33.303636
21.0,41.0,2022-11-24 20:39:36.457801
21.0,42.0,2022-11-24 20:49:37.063368
21.0,41.0,2022-11-24 20:51:55.190582
20.0,43.0,2022-11-24 23:38:13.771632
20.0,43.0,2022-11-24 23:48:19.325116
20.0,43.0,2022-11-24 23:57:05.252729
20.0,43.0,2022-11-24 23:58:19.951424
20.0,43.0,2022-11-25 00:07:05.881086
20.0,43.0,2022-11-25 00:08:20.577855
21.0,41.0,2022-11-25 00:27:44.393481
21.0,41.0,2022-11-25 00:28:59.210097
21.0,41.0,2022-11-25 00:37:44.951030
21.0,41.0,2022-11-25 00:38:59.836831
21.0,41.0,2022-11-25 00:47:45.571534
21.0,41.0,2022-11-25 00:49:00.463477
21.0,41.0,2022-11-25 00:57:46.198408
21.0,41.0,2022-11-25 00:59:01.090502
20.0,42.0,2022-11-25 01:09:01.709390
20.0,42.0,2022-11-25 01:19:02.305637
20.0,42.0,2022-11-25 01:29:02.932220
20.0,43.0,2022-11-25 01:39:03.559017
20.0,43.0,2022-11-25 01:49:04.185620
20.0,42.0,2022-11-25 01:59:04.812240
20.0,43.0,2022-11-25 02:09:07.966543
20.0,42.0,2022-11-25 02:19:08.593326
20.0,42.0,2022-11-25 02:29:09.219843
20.0,42.0,2022-11-25 02:39:09.846800
20.0,42.0,2022-11-25 02:49:10.473276
20.0,43.0,2022-11-25 02:59:11.091289
20.0,42.0,2022-11-25 03:09:11.717848
20.0,42.0,2022-11-25 03:19:14.871019
20.0,42.0,2022-11-25 03:29:15.497517
20.0,42.0,2022-11-25 03:39:16.045315
20.0,42.0,2022-11-25 03:49:16.671888
20.0,42.0,2022-11-25 03:59:22.353903
20.0,42.0,2022-11-25 04:09:22.973962
20.0,42.0,2022-11-25 04:19:23.558482
20.0,42.0,2022-11-25 04:29:24.185021
20.0,42.0,2022-11-25 04:39:24.811886
20.0,42.0,2022-11-25 04:49:25.438434
20.0,42.0,2022-11-25 04:59:26.533713
20.0,42.0,2022-11-25 05:09:27.290332
20.0,42.0,2022-11-25 05:19:30.444101
20.0,42.0,2022-11-25 05:29:31.040359
20.0,42.0,2022-11-25 05:39:31.666324
20.0,42.0,2022-11-25 05:49:32.292874
20.0,42.0,2022-11-25 05:59:32.919423
20.0,42.0,2022-11-25 06:09:33.546287
20.0,42.0,2022-11-25 06:19:34.172796
20.0,42.0,2022-11-25 06:29:34.799472
20.0,42.0,2022-11-25 06:39:35.386458
20.0,42.0,2022-11-25 06:49:36.013540
20.0,42.0,2022-11-25 06:59:39.167712
20.0,42.0,2022-11-25 07:09:39.794030
20.0,42.0,2022-11-25 07:19:40.420652
20.0,42.0,2022-11-25 07:29:41.046154
20.0,42.0,2022-11-25 07:39:41.672691
20.0,42.0,2022-11-25 07:49:42.299253
20.0,42.0,2022-11-25 07:59:45.453421
20.0,42.0,2022-11-25 08:09:46.080596
20.0,42.0,2022-11-25 08:19:47.232565
19.0,40.0,2022-11-25 08:29:47.859637
19.0,41.0,2022-11-25 08:39:48.570445
20.0,41.0,2022-11-25 08:49:49.196862
21.0,40.0,2022-11-25 08:59:49.791204
21.0,40.0,2022-11-25 09:09:50.417486
21.0,40.0,2022-11-25 09:19:50.990265
21.0,39.0,2022-11-25 09:29:54.146764
21.0,40.0,2022-11-25 09:39:54.773024
22.0,40.0,2022-11-25 09:49:55.391765
21.0,40.0,2022-11-25 09:59:56.018297
22.0,40.0,2022-11-25 10:09:56.561182
22.0,41.0,2022-11-25 10:19:57.188053
22.0,41.0,2022-11-25 10:29:57.814724
22.0,41.0,2022-11-25 10:39:58.441484
22.0,41.0,2022-11-25 10:49:59.068156
22.0,41.0,2022-11-25 10:59:59.695180
23.0,41.0,2022-11-25 11:10:00.321650
22.0,41.0,2022-11-25 11:20:00.947443
22.0,41.0,2022-11-25 11:23:01.227562
22.0,42.0,2022-11-25 11:26:02.785671
22.0,42.0,2022-11-25 11:26:53.871182
