Temperatur,Feuchtigkeit,Datetime
23.0,39.0,01.12.2022  15:18:43
23.0,39.0,01.12.2022  15:18:46
23.0,39.0,01.12.2022  15:18:48
23.0,39.0,01.12.2022  15:18:51
23.0,39.0,01.12.2022  15:18:53
23.0,39.0,01.12.2022  15:18:58
23.0,39.0,01.12.2022  15:19:01
23.0,39.0,01.12.2022  15:19:03
23.0,39.0,01.12.2022  15:19:06
23.0,39.0,01.12.2022  15:19:08
23.0,39.0,01.12.2022  15:19:13
23.0,39.0,01.12.2022  15:19:16
23.0,39.0,01.12.2022  15:19:18
23.0,39.0,01.12.2022  15:19:21
23.0,39.0,01.12.2022  15:19:26
23.0,39.0,01.12.2022  15:19:29
23.0,39.0,01.12.2022  15:19:31
23.0,39.0,01.12.2022  15:19:23
23.0,39.0,01.12.2022  15:19:36
23.0,39.0,01.12.2022  15:19:41
23.0,39.0,01.12.2022  15:19:44
23.0,39.0,01.12.2022  15:19:46
23.0,39.0,01.12.2022  15:19:49
23.0,39.0,01.12.2022  15:19:39
23.0,39.0,01.12.2022  15:19:56
23.0,39.0,01.12.2022  15:19:59
23.0,39.0,01.12.2022  15:20:01
23.0,39.0,01.12.2022  15:20:04
23.0,39.0,01.12.2022  15:20:06
23.0,39.0,01.12.2022  15:20:09
23.0,39.0,01.12.2022  15:20:14
23.0,39.0,01.12.2022  15:20:17
23.0,39.0,01.12.2022  15:20:19
23.0,39.0,01.12.2022  15:20:22
23.0,39.0,01.12.2022  15:20:24
23.0,39.0,01.12.2022  15:20:29
23.0,39.0,01.12.2022  15:20:32
23.0,39.0,01.12.2022  15:20:34
23.0,39.0,01.12.2022  15:20:37
23.0,39.0,01.12.2022  15:20:39
23.0,39.0,01.12.2022  15:20:44
23.0,39.0,01.12.2022  15:20:47
23.0,39.0,01.12.2022  15:20:49
23.0,39.0,01.12.2022  15:19:11
23.0,39.0,01.12.2022  15:20:57
23.0,39.0,01.12.2022  15:21:00
23.0,39.0,01.12.2022  15:20:54
23.0,39.0,01.12.2022  15:21:05
23.0,39.0,01.12.2022  15:21:10
23.0,39.0,01.12.2022  15:21:12
23.0,39.0,01.12.2022  15:21:07
23.0,39.0,01.12.2022  15:21:17
23.0,39.0,01.12.2022  15:21:20
23.0,39.0,01.12.2022  15:21:25
23.0,39.0,01.12.2022  15:21:22
23.0,39.0,01.12.2022  15:21:30
23.0,39.0,01.12.2022  15:18:56
23.0,39.0,01.12.2022  15:21:35
23.0,39.0,01.12.2022  15:21:40
23.0,39.0,02.12.2022  12:37:03
23.0,39.0,02.12.2022  12:37:06
23.0,39.0,02.12.2022  12:37:08
23.0,39.0,02.12.2022  12:37:13
23.0,39.0,02.12.2022  12:37:16
23.0,39.0,02.12.2022  12:37:18
23.0,39.0,02.12.2022  12:37:21
23.0,39.0,02.12.2022  12:37:23
23.0,39.0,02.12.2022  12:37:28
23.0,39.0,02.12.2022  12:37:31
23.0,39.0,02.12.2022  12:37:34
23.0,39.0,02.12.2022  12:37:26
23.0,39.0,02.12.2022  12:37:39
23.0,39.0,02.12.2022  12:37:44
23.0,39.0,02.12.2022  12:37:46
23.0,39.0,02.12.2022  12:37:49
23.0,39.0,02.12.2022  12:37:41
23.0,39.0,02.12.2022  12:37:54
